Recurso ID,nombre,submercado,capacidad_efectiva,factor_conversion,es_menor,tipo_despacho,tipo_generacion,inicio_operacion,estado,nombre_agente,combustible,clasificacion
Grp0085,CASCADA,CSC1,3,0,SI,NO DESPACHADO CENTRALMENTE,HIDRAULICA,1954-01-01 00:00:00,OPERACION,EMPRESAS PUBLICAS DE MEDELLIN E.S.P.,AGUA,NORMAL
Grp0086,PAJARITO,PJR1,"13,2",0,SI,NO DESPACHADO CENTRALMENTE,HIDRAULICA,11/25/1999 12:00:00 AM,OPERACION,EMPRESAS PUBLICAS DE MEDELLIN E.S.P.,AGUA,NORMAL
Grp0087,SERVITA,STA1,"0,65",0,SI,NO DESPACHADO CENTRALMENTE,HIDRAULICA,1965-01-01 00:00:00,INACTIVO,ELECTRIFICADORA DE SANTANDER S.A. E.S.P.,AGUA,VACÍO
Grp0088,ZARAGOZA,ZRG1,"1,3",0,SI,NO DESPACHADO CENTRALMENTE,HIDRAULICA,1932-01-01 00:00:00,INACTIVO,ELECTRIFICADORA DE SANTANDER S.A. E.S.P.,AGUA,VACÍO
Grp0090,PALMAS SAN GIL,PLM1,15,0,SI,NO DESPACHADO CENTRALMENTE,HIDRAULICA,1954-01-01 00:00:00,OPERACION,EMPRESAS PUBLICAS DE MEDELLIN E.S.P.,AGUA,NORMAL
Grp0091,RIO PIEDRAS,RPD1,"19,9",1,SI,NO DESPACHADO CENTRALMENTE,HIDRAULICA,3/31/2000 12:00:00 AM,OPERACION,CELSIA COLOMBIA S.A. E.S.P.,AGUA,FILO DE AGUA
Grp0092,VENTANA A,VNTA,"2,5",0,SI,NO DESPACHADO CENTRALMENTE,HIDRAULICA,1957-01-11 00:00:00,OPERACION,VATIA S.A. E.S.P.,AGUA,NORMAL
Grp0093,VENTANA B,VNTB,"2,5",0,SI,NO DESPACHADO CENTRALMENTE,HIDRAULICA,1957-01-11 00:00:00,OPERACION,VATIA S.A. E.S.P.,AGUA,NORMAL
Grp0094,RIO CALI,RCL1,"1,8",0,SI,NO DESPACHADO CENTRALMENTE,HIDRAULICA,1925-01-01 00:00:00,OPERACION,CELSIA COLOMBIA S.A. E.S.P.,AGUA,NORMAL
Grp0095,RIO FRIO I,RFR1,"1,67",0,SI,NO DESPACHADO CENTRALMENTE,HIDRAULICA,1954-01-01 00:00:00,OPERACION,COMPAÑIA DE ELECTRICIDAD DE TULUA S.A. E.S.P.,AGUA,NORMAL
Grp0096,ALBAN,ALBG,429,45098,NO,DESPACHADO CENTRALMENTE,HIDRAULICA,12/15/2000 12:00:00 AM,OPERACION,CELSIA COLOMBIA S.A. E.S.P.,AGUA,NORMAL
Grp0097,CASALCO,CSLG,128,0,NO,DESPACHADO CENTRALMENTE,HIDRAULICA,6/17/1957 12:00:00 AM,INACTIVO,EMGESA S.A. E.S.P.  (FINALIZADO),AGUA,VACÍO
Grp0098,GUATRON,GTRG,512,"8,45",NO,DESPACHADO CENTRALMENTE,HIDRAULICA,1996-01-01 00:00:00,OPERACION,EMPRESAS PUBLICAS DE MEDELLIN E.S.P.,AGUA,NORMAL
Grp0099,PAGUA,PGUG,600,164049,NO,DESPACHADO CENTRALMENTE,HIDRAULICA,1986-01-12 00:00:00,OPERACION,EMGESA S.A. E.S.P.,AGUA,NORMAL
Grp0101,RUMOR,RMR1,"2,5",0,SI,NO DESPACHADO CENTRALMENTE,HIDRAULICA,1999-01-01 00:00:00,OPERACION,COMPAÑIA DE ELECTRICIDAD DE TULUA S.A. E.S.P.,AGUA,NORMAL
Grp0109,RIO GRANDE,RGR1,"0,3",0,SI,NO DESPACHADO CENTRALMENTE,HIDRAULICA,2007-01-12 00:00:00,OPERACION,EMPRESAS PUBLICAS DE MEDELLIN E.S.P.,AGUA,NORMAL
Grp0110,RIONEGRO,RNG1,"10,2",0,SI,NO DESPACHADO CENTRALMENTE,HIDRAULICA,1975-01-01 00:00:00,OPERACION,EMGESA S.A. E.S.P.,AGUA,NORMAL
Grp0111,RIO BOBO,RBB1,4,0,SI,NO DESPACHADO CENTRALMENTE,HIDRAULICA,1960-01-01 00:00:00,OPERACION,CENTRALES ELECTRICAS DE NARIÑO S.A. E.S.P.,AGUA,NORMAL
Grp0112,MUNICIPAL,MNC1,"1,4",0,SI,NO DESPACHADO CENTRALMENTE,HIDRAULICA,1935-01-01 00:00:00,OPERACION,EMPRESAS PUBLICAS DE MEDELLIN E.S.P.,AGUA,NORMAL
Grp0113,PROVIDENCIA (ANTIOQUIA),PVD1,3,0,SI,NO DESPACHADO CENTRALMENTE,HIDRAULICA,1900-01-01 00:00:00,INACTIVO,EMPRESAS PUBLICAS DE MEDELLIN E.S.P.,AGUA,VACÍO
Grp0114,RIO PALO,LPLO,"1,44",0,SI,NO DESPACHADO CENTRALMENTE,HIDRAULICA,1960-01-01 00:00:00,OPERACION,VATIA S.A. E.S.P.,AGUA,NORMAL
Grp0115,SAN JOSE,SJOG,"0,38","0,0001",SI,NO DESPACHADO CENTRALMENTE,HIDRAULICA,11/16/2003 12:00:00 AM,OPERACION,GENERADORA COLOMBIANA DE ELECTRICIDAD S.A. E.S.P.,AGUA,NORMAL
Grp0116,SANTA ANA,SNT1,8,0,SI,NO DESPACHADO CENTRALMENTE,HIDRAULICA,2005-09-06 00:00:00,OPERACION,EMGESA S.A. E.S.P.,AGUA,NORMAL
Grp0117,LA CASCADA (ANTIOQUIA),LCS1,"2,3",0,SI,NO DESPACHADO CENTRALMENTE,HIDRAULICA,7/17/2007 12:00:00 AM,OPERACION,LA CASCADA S.A.S. E.S.P.,AGUA,NORMAL
Grp0118,LA CASCADA ( ABEJORRAL),ABJ1,3,0,SI,NO DESPACHADO CENTRALMENTE,HIDRAULICA,9/17/2007 12:00:00 AM,OPERACION,EMPRESA DE GENERACION Y PROMOCION DE ENERGIA DE ANTIOQUIA S.A. E.S.P.,AGUA,NORMAL
Grp0119,EL BOSQUE,BSQ1,"2,28",0,SI,NO DESPACHADO CENTRALMENTE,HIDRAULICA,1935-01-01 00:00:00,OPERACION,ENERGIA RENOVABLE DE COLOMBIA S.A. E.S.P.,AGUA,NORMAL
Grp0120,URRAO,PLU1,"1,03",0,SI,NO DESPACHADO CENTRALMENTE,HIDRAULICA,7/30/2007 12:00:00 AM,OPERACION,DEPI ENERGY S.A.S. E.S.P.,AGUA,NORMAL
Grp0122,CALDERAS,CLDR,"19,9",13143,SI,NO DESPACHADO CENTRALMENTE,HIDRAULICA,6/30/2006 12:00:00 AM,OPERACION,ISAGEN S.A. E.S.P.,AGUA,NORMAL
Grp0123,EL LIMON,LIM1,"0,72",0,SI,NO DESPACHADO CENTRALMENTE,HIDRAULICA,1926-01-01 00:00:00,INACTIVO,EMPRESAS PUBLICAS DE MEDELLIN E.S.P.,AGUA,VACÍO
